,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
679,1732826477-680,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Smedestraat 10
             
                6191 TN Beek (LI)",https://www.funda.nl/detail/huur/beek-li/huis-smedestraat-10/43771643/,Smedestraat 10,Beek,108.0,3.0,1250.0,€ 1.250 per maand (geen servicekosten),Onbepaalde tijd,5 weken,Verhuurd onder voorbehoud,Beschikbaar per 15-12-2024,"Woonboerderij, hoekwoning",Bestaande bouw,1906.0,,,15.0,15.0,,350.0,7.0,,,1.0,Mechanische ventilatie en TV kabel,D,,Cv-ketel,Cv-ketel,,Ligging,,Aan rustige weg en in centrum,Achtertuin,,,,Op eigen terrein,6191 TN,Beek (LI),1250.0,,32
680,1732826479-681,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Kleverparkweg 64
             
                2023 CH Haarlem",https://www.funda.nl/detail/huur/haarlem/huis-kleverparkweg-64/43781162/,Kleverparkweg 64,Kleverpark-zuid,156.0,6.0,3650.0,€ 3.650 per maand (geen servicekosten),Tijdelijke verhuur,4 weken,Onder optie,In overleg,"Herenhuis, tussenwoning",Bestaande bouw,1920.0,Gestoffeerd,,12.0,,,586.0,7.0,2.0,"Dubbele wastafel, inloopdouche, 2 toiletten, ligbad, en wastafel",3.0,,D,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Ligging,,In woonwijk,Achtertuin,"24 m² (4,00 meter diep en 6,00 meter breed)",Gelegen op het zuiden,,,2023 CH,Haarlem,3650.0,1.0,149
681,1732826482-682,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Laantje van Hynckes 21
             
                1261 ZL Blaricum",https://www.funda.nl/detail/huur/blaricum/huis-laantje-van-hynckes-21/43791167/,Laantje van Hynckes 21,Blaricummermeent,124.0,3.0,2000.0,€ 2.000 per maand (geen servicekosten),Tijdelijke verhuur,3 weken,Onder bod,Beschikbaar per 02-12-2024,"Eengezinswoning, tussenwoning",Bestaande bouw,2014.0,Gemeubileerd en gestoffeerd,Zadeldak,6.0,,,400.0,5.0,1.0,"Dubbele wastafel, inloopdouche, ligbad, en toilet",3.0,Mechanische ventilatie,A+,,,,,Ligging,,Aan rustige weg en in woonwijk,Achtertuin en voortuin,"12 m² (4,00 meter diep en 3,00 meter breed)",,,Openbaar parkeren,1261 ZL,Blaricum,2000.0,1.0,49
682,1732826484-683,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Nijlân 149
             
                9036 JN Menaam",https://www.funda.nl/detail/huur/menaam/huis-nijlan-149/43707524/,Nijlân 149,Menaam Oost,74.0,3.0,879.0,€ 879 per maand (servicekosten onbekend),Onbepaalde tijd,3 weken,Onder optie,Beschikbaar per 01-12-2024,"Eengezinswoning, hoekwoning",Bestaande bouw,,,,5.0,,,185.0,4.0,,,1.0,,B,,Cv-ketel,Cv-ketel,Gas gestookt combiketel,Tuin,,,Achtertuin en voortuin,,,,Openbaar parkeren,9036 JN,Menaam,879.0,,261
683,1732826486-684,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Vondellaan 228
             
                9721 LL Groningen",https://www.funda.nl/detail/huur/groningen/huis-vondellaan-228/43700173/,Vondellaan 228,De Wijert,70.0,2.0,950.0,€ 950 per maand (geen servicekosten),Onbepaalde tijd,2 weken,Verhuurd onder voorbehoud,Beschikbaar per 01-12-2024,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,5.0,,,180.0,3.0,1.0,Douche en wastafel,1.0,Elektra,B,,Cv-ketel,,"Gas gestookt combiketel, eigendom",Ligging,,In woonwijk,,,,Balkon aanwezig,Openbaar parkeren,9721 LL,Groningen,950.0,1.0,142
684,1732826489-685,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Schiphorsterweg 7
             
                7966 AB De Schiphorst",https://www.funda.nl/detail/huur/de-schiphorst/huis-schiphorsterweg-7/43703492/,Schiphorsterweg 7,De Schiphorst,127.0,1.0,950.0,€ 950 per maand (geen servicekosten),Onbepaalde tijd,2 weken,Onder optie,Per direct beschikbaar,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Bestaande bouw,1914.0,Monumentaal pand,,200.0,19.0,,275.0,4.0,1.0,"Ligbad, toilet, en wastafel",1.0,,Niet beschikbaar,,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,Gas gestookt,Tuin,,,Achtertuin,,,,Op eigen terrein,7966 AB,De Schiphorst,950.0,1.0,83
685,1732826491-686,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Eeuwenweg 115
             
                1335 CP Almere",https://www.funda.nl/detail/huur/almere/huis-eeuwenweg-115/43713459/,Eeuwenweg 115,Seizoenenbuurt West,114.0,3.0,1190.0,€ 1.190 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Onder optie,Beschikbaar per 01-01-2025,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,,4.0,,285.0,4.0,,,1.0,Zonnepanelen,B,,Cv-ketel,Cv-ketel,Gas gestookt combiketel,Tuin,,,Achtertuin en voortuin,,,,Openbaar parkeren,1335 CP,Almere,1190.0,,11
686,1732826494-687,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"'t Landje 24
             
                1674 PV Opperdoes",https://www.funda.nl/detail/huur/opperdoes/appartement-t-landje-24/43704255/,'t Landje 24,Opperdoes Centrum,68.0,2.0,1009.0,€ 1.009 per maand (geen servicekosten),Onbepaalde tijd,16 november 2024,Onder optie,In overleg,,Bestaande bouw,1993.0,,Zadeldak bedekt met pannen,3.0,,,190.0,3.0,1.0,"Douche, toilet, en wastafel",1.0,Mechanische ventilatie,A+,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Balkon/dakterras,,,,,,Balkon aanwezig,Openbaar parkeren,1674 PV,Opperdoes,1009.0,,305
687,1732826496-688,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Energieweg 1-C
             
                2404 HE Alphen aan den Rijn",https://www.funda.nl/detail/huur/alphen-aan-den-rijn/appartement-energieweg-1-c/43727542/,Energieweg 1-C,Bedrijventerrein Rijnhaven-Oost,47.0,1.0,1137.0,€ 1.137 per maand (servicekosten onbekend),Onbepaalde tijd,23 november 2024,Onder optie,In overleg,,Nieuwbouw,2022.0,,Plat dak bedekt met bitumineuze dakbedekking,5.0,,,141.0,2.0,1.0,Douche en wastafel,1.0,"Balansventilatie, glasvezelkabel, en TV kabel",A++,Volledig geïsoleerd,Gehele vloerverwarming en warmtepomp,Elektrische boiler,,Ligging,,Aan rustige weg,,,,Balkon aanwezig,Openbaar parkeren,2404 HE,Alphen aan den Rijn,1137.0,1.0,13
688,1732826498-689,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Molenaarspad 1
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-1/43648372/,Molenaarspad 1,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Verhuurd onder voorbehoud,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
