,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
0,1732824723-1,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Vossegatselaan 11
             
                3583 RN Utrecht",https://www.funda.nl/detail/huur/utrecht/huis-vossegatselaan-11/43789317/,Vossegatselaan 11,Schildersbuurt,,2.0,2295.0,€ 2.295 per maand (geen servicekosten),,4 weken,,,"Eengezinswoning, tussenwoning",Bestaande bouw,1914.0,,,,,,372.0,3.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3583 RN,Utrecht,2295.0,,398
1,1732824725-2,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Nieuwstraat 68
             
                1441 CN Purmerend",https://www.funda.nl/detail/huur/purmerend/appartement-nieuwstraat-68/43770404/,Nieuwstraat 68,Binnenstad,,2.0,1500.0,€ 1.500 per maand (geen servicekosten),,5 weken,,,,Bestaande bouw,1999.0,,,,,,245.0,3.0,,,,,B,,,,,,,,,,,,,1441 CN,Purmerend,1500.0,,321
2,1732824728-3,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Kwartelstraat 48
             
                3514 EX Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-kwartelstraat-48/43792192/,Kwartelstraat 48,Vogelenbuurt,,3.0,2895.0,€ 2.895 per maand (geen servicekosten),,3 weken,,,,Bestaande bouw,1905.0,,,,,,206.0,4.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3514 EX,Utrecht,2895.0,,398
3,1732824730-4,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Betsy Kaiserhof 4
             
                1624 PK Hoorn (NH)",https://www.funda.nl/detail/huur/hoorn-nh/appartement-betsy-kaiserhof-4/43715391/,Betsy Kaiserhof 4,Venelaankwartier - Buurt 11 00,,2.0,1450.0,€ 1.450 per maand (servicekosten onbekend),,2 weken,,,,Bestaande bouw,2024.0,,,,,,177.0,3.0,,,,,A++++,,,,,,,,,,,,,1624 PK,Hoorn (NH),1450.0,,189
4,1732824732-5,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Oudegracht 67-B
             
                3511 AD Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-oudegracht-67-b/43718803/,Oudegracht 67-B,Wijk C,,1.0,2250.0,€ 2.250 per maand (geen servicekosten),,15 november 2024,,,,Bestaande bouw,1450.0,,,,,,251.0,2.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3511 AD,Utrecht,2250.0,,398
5,1732824735-6,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Hartingstraat 278
             
                3511 HV Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-hartingstraat-278/43710823/,Hartingstraat 278,Hooch Boulandt,,2.0,2095.0,€ 2.095 per maand (geen servicekosten),,18 november 2024,,,,Bestaande bouw,1995.0,,,,,,205.0,3.0,,,,,C,,,,,,,,,,,,,3511 HV,Utrecht,2095.0,,398
6,1732824737-7,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Holysingel 584
             
                3136 LM Vlaardingen",https://www.funda.nl/detail/huur/vlaardingen/appartement-holysingel-584/43721766/,Holysingel 584,Statenbuurt,,,850.0,€ 850 per maand (servicekosten onbekend),,26 november 2024,,,,Bestaande bouw,1970.0,,,,,,70.0,,,,,,C,,,,,,,,,,,,,3136 LM,Vlaardingen,850.0,,415
7,1732824740-8,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Weerwal 16-B
             
                1441 AL Purmerend",https://www.funda.nl/detail/huur/purmerend/appartement-weerwal-16-b/43703579/,Weerwal 16-B,Binnenstad,,1.0,925.0,"€ 925 per maand (exclusief servicekosten à € 15,00 /mnd)",,2 weken,,,,Bestaande bouw,1850.0,,,,,,97.0,2.0,,,,,A,,,,,,,,,,,,,1441 AL,Purmerend,925.0,,321
8,1732824742-9,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Stuvesande 130
             
                4532 MJ Terneuzen",https://www.funda.nl/detail/huur/terneuzen/appartement-stuvesande-130/43633408/,Stuvesande 130,Noordpolder,,1.0,1029.0,"€ 1.029 per maand (exclusief servicekosten à € 128,51 /mnd)",,2 maanden,,,,Bestaande bouw,1993.0,,,,,,175.0,2.0,,,,,C,,,,,,,,,,,,,4532 MJ,Terneuzen,1029.0,,384
9,1732824744-10,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Van Baerlestraat 15-2
             
                1071 AM Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-van-baerlestraat-15-2/43773805/,Van Baerlestraat 15-2,P.C. Hooftbuurt,,2.0,2950.0,€ 2.950 per maand (geen servicekosten),,5 weken,,,,Bestaande bouw,1875.0,,,,,,200.0,3.0,,,,,A,,,,,,,,,,,,,1071 AM,Amsterdam,2950.0,,17
10,1732824747-11,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Raadhuisplein 102
             
                2132 TZ Hoofddorp",https://www.funda.nl/detail/huur/hoofddorp/appartement-raadhuisplein-102/43725933/,Raadhuisplein 102,Hoofddorp Zuid,,1.0,1575.0,"€ 1.575 per maand (exclusief servicekosten à € 20,00 /mnd)",,21 november 2024,,,,Bestaande bouw,2012.0,,,,,,197.0,2.0,,,,,A,,,,,,,,,,,,,2132 TZ,Hoofddorp,1575.0,,181
11,1732824750-12,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Delftweg 127-b1
             
                3043 NH Rotterdam",https://www.funda.nl/detail/huur/rotterdam/huis-delftweg-127-b1/42395652/,Delftweg 127-B1,Overschie,,1.0,1450.0,€ 1.450 per maand (geen servicekosten),,6+ maanden,,,"Eengezinswoning, hoekwoning",Bestaande bouw,1900.0,,,,,,204.0,2.0,,,,,C,,,,,,,,,,,,,3043 NH,Rotterdam,1450.0,,342
12,1732824752-13,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Prinses Wilhelminastraat 13
             
                2313 AV Leiden",https://www.funda.nl/detail/huur/leiden/huis-prinses-wilhelminastraat-13/43671332/,Prinses Wilhelminastraat 13,Tuinstadwijk,,1.0,1950.0,"€ 1.950 per maand (inclusief servicekosten à € 20,00 /mnd)",,4 maanden,,,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,,,,217.0,4.0,,,,,B,,,,,,,,,,,,,2313 AV,Leiden,1950.0,,224
13,1732824754-14,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Van Galenstraat 16
             
                2315 KK Leiden",https://www.funda.nl/detail/huur/leiden/huis-van-galenstraat-16/43608433/,Van Galenstraat 16,De Waard,,4.0,2400.0,€ 2.400 per maand (servicekosten onbekend),,3 maanden,,,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,,,,320.0,5.0,,,,,D,,,,,,,,,,,,,2315 KK,Leiden,2400.0,,224
14,1732824757-15,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Klinker 24
             
                6991 KC Rheden",https://www.funda.nl/detail/huur/rheden/huis-klinker-24/43701899/,Klinker 24,Rheden,,3.0,1168.0,€ 1.168 per maand (geen servicekosten),,2 weken,,,"Eengezinswoning, tussenwoning",Bestaande bouw,2012.0,,,,,,270.0,4.0,,,,,A,,,,,,,,,,,,,6991 KC,Rheden,1168.0,,330
15,1732824762-16,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Wijde Kapelsteeg 1-C
             
                1012 NS Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-wijde-kapelsteeg-1-c/43435177/,Wijde Kapelsteeg 1-C,Begijnhofbuurt,,1.0,2100.0,€ 2.100 per maand (geen servicekosten),,6+ maanden,,,,Bestaande bouw,1906.0,,,,,,150.0,2.0,,,,,A,,,,,,,,,,,,,1012 NS,Amsterdam,2100.0,,17
16,1732824764-17,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Nieuwstraat 6
             
                5911 JT Venlo",https://www.funda.nl/detail/huur/venlo/appartement-nieuwstraat-6/43789000/,Nieuwstraat 6,Winkelcentrum,,3.0,1350.0,€ 1.350 per maand (geen servicekosten),,4 weken,,,,Bestaande bouw,1950.0,,,,,,400.0,7.0,,,,,C,,,,,,,,,,,,,5911 JT,Venlo,1350.0,,411
17,1732824766-18,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Arthur van Schendelstraat 553
             
                3511 MP Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-arthur-van-schendelstraat-553/43782904/,Arthur van Schendelstraat 553,Hooch Boulandt,,2.0,2095.0,€ 2.095 per maand (geen servicekosten),,4 weken,,,,Bestaande bouw,1993.0,,,,,,212.0,3.0,,,,,B,,,,,,,,,,,,,3511 MP,Utrecht,2095.0,,398
18,1732824769-19,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Abtstraat 14-D
             
                6211 LS Maastricht",https://www.funda.nl/detail/huur/maastricht/appartement-abtstraat-14-d/43711642/,Abtstraat 14-D,Kommelkwartier,,1.0,811.0,"€ 811 per maand (exclusief servicekosten à € 38,00 /mnd)",,18 november 2024,,,,Bestaande bouw,1750.0,,,,,,105.0,2.0,,,,,Niet verplicht,,,,,,,,,,,,,6211 LS,Maastricht,811.0,,255
19,1732824771-20,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Eisenhowerlaan 156-C
             
                2517 KP Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-eisenhowerlaan-156-c/43429963/,Eisenhowerlaan 156-C,Statenkwartier,,2.0,1995.0,€ 1.995 per maand (servicekosten onbekend),,6+ maanden,,,,Bestaande bouw,1985.0,,,,,,262.0,3.0,,,,,A,,,,,,,,,,,,,2517 KP,Den Haag,1995.0,,90
20,1732824774-21,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Johannes Camphuijsstraat 163-F
             
                2593 CL Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-johannes-camphuijsstraat-163-f/43689790/,Johannes Camphuijsstraat 163-F,Bezuidenhout-Oost,,1.0,2000.0,€ 2.000 per maand (geen servicekosten),,3 maanden,,,,Bestaande bouw,2020.0,,,,,,270.0,3.0,,,,,A+,,,,,,,,,,,,,2593 CL,Den Haag,2000.0,,90
21,1732824776-22,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Hooftskade 25
             
                2526 KA Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-hooftskade-25/43776423/,Hooftskade 25,Schildersbuurt-Noord,,2.0,1650.0,€ 1.650 per maand (geen servicekosten),,6 weken,,,,Bestaande bouw,1867.0,,,,,,292.0,3.0,,,,,C,,,,,,,,,,,,,2526 KA,Den Haag,1650.0,,90
22,1732824779-23,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Betuwestraat 26
             
                1079 PR Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-betuwestraat-26/43795339/,Betuwestraat 26,Kop Zuidas,,1.0,2250.0,"€ 2.250 per maand (inclusief servicekosten à € 20,00 /mnd)",,3 weken,,,,Bestaande bouw,,,,,,,217.0,2.0,,,,,A,,,,,,,,,,,,,1079 PR,Amsterdam,2250.0,,17
23,1732824781-24,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Bij de olieslager 2
             
                5911 JM Venlo",https://www.funda.nl/detail/huur/venlo/appartement-bij-de-olieslager-2/43707764/,Bij de olieslager 2,Winkelcentrum,,3.0,1200.0,€ 1.200 per maand (geen servicekosten),,3 weken,,,,Bestaande bouw,1965.0,,,,,,250.0,7.0,,,,,C,,,,,,,,,,,,,5911 JM,Venlo,1200.0,,411
24,1732824784-25,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Vrijheidslaan 68
             
                2321 DL Leiden",https://www.funda.nl/detail/huur/leiden/appartement-vrijheidslaan-68/43707384/,Vrijheidslaan 68,Cronestein,,2.0,1950.0,€ 1.950 per maand (geen servicekosten),,3 weken,,,,Bestaande bouw,1994.0,,,,,,230.0,3.0,,,,,A,,,,,,,,,,,,,2321 DL,Leiden,1950.0,,224
25,1732824786-26,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Harry Meijerstraat 49
             
                5913 RE Venlo",https://www.funda.nl/detail/huur/venlo/appartement-harry-meijerstraat-49/43707336/,Harry Meijerstraat 49,Groeneveld,,2.0,1255.0,"€ 1.255 per maand (exclusief servicekosten à € 85,00 /mnd)",,3 weken,,,,Bestaande bouw,1990.0,,,,,,287.0,3.0,,,,,Niet beschikbaar,,,,,,,,,,,,,5913 RE,Venlo,1255.0,,411
26,1732824789-27,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Goltziusstraat 26
             
                5911 AW Venlo",https://www.funda.nl/detail/huur/venlo/appartement-goltziusstraat-26/43700865/,Goltziusstraat 26,Rosarium e.o.,,3.0,1450.0,€ 1.450 per maand (geen servicekosten),,2 weken,,,,Bestaande bouw,1931.0,,,,,,250.0,4.0,,,,,B,,,,,,,,,,,,,5911 AW,Venlo,1450.0,,411
27,1732824791-28,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Boumaboulevard 389
             
                9723 ZS Groningen",https://www.funda.nl/detail/huur/groningen/appartement-boumaboulevard-389/43712767/,Boumaboulevard 389,Europapark,,3.0,1700.0,"€ 1.700 per maand (exclusief servicekosten à € 25,00 /mnd)",,19 november 2024,,,,Bestaande bouw,2010.0,,,,,,423.0,4.0,,,,,A,,,,,,,,,,,,,9723 ZS,Groningen,1700.0,,142
28,1732824793-29,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Bagijnestraat 1-F
             
                2511 CK Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-bagijnestraat-1-f/43714188/,Bagijnestraat 1-F,Uilebomen,,2.0,2100.0,€ 2.100 per maand (geen servicekosten),,21 november 2024,,,,Bestaande bouw,1937.0,,,,,,165.0,3.0,,,,,A,,,,,,,,,,,,,2511 CK,Den Haag,2100.0,,90
29,1732824796-30,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=285,"Markgraaflaan 94
             
                2553 MA Den Haag",https://www.funda.nl/detail/huur/den-haag/huis-markgraaflaan-94/43581340/,Markgraaflaan 94,Kraayenstein en Vroondaal,,5.0,3150.0,€ 3.150 per maand (geen servicekosten),,6+ maanden,,,"Herenhuis, tussenwoning",Bestaande bouw,2022.0,,,,,,525.0,6.0,,,,,A+++,,,,,,,,,,,,,2553 MA,Den Haag,3150.0,,90
30,1732824800-31,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Dorpsstraat 66
             
                6082 AR Buggenum",https://www.funda.nl/detail/huur/buggenum/huis-dorpsstraat-66/43511831/,Dorpsstraat 66,Kern Buggenum,,4.0,4950.0,€ 4.950 per maand (geen servicekosten),,5 maanden,,,"Landhuis, vrijstaande woning",Bestaande bouw,1903.0,,,,,,2287.0,7.0,,,,,Niet verplicht,,,,,,,,,,,,,6082 AR,Buggenum,4950.0,,66
31,1732824803-32,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Eikenhof 24
             
                4576 DZ Koewacht",https://www.funda.nl/detail/huur/koewacht/huis-eikenhof-24/43776549/,Eikenhof 24,Kern Koewacht,,4.0,1100.0,€ 1.100 per maand (geen servicekosten),,6 weken,,,"Eengezinswoning, 2-onder-1-kapwoning",Bestaande bouw,1983.0,,,,,,257.0,5.0,,,,,B,,,,,,,,,,,,,4576 DZ,Koewacht,1100.0,,211
32,1732824805-33,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Bongerdstraat 245
             
                5931 NE Tegelen",https://www.funda.nl/detail/huur/tegelen/huis-bongerdstraat-245/43780285/,Bongerdstraat 245,Tegelen-Centrum,,3.0,1595.0,€ 1.595 per maand (geen servicekosten),,4 weken,,,"Eengezinswoning, halfvrijstaande woning",Bestaande bouw,1910.0,,,,,,320.0,7.0,,,,,B,,,,,,,,,,,,,5931 NE,Tegelen,1595.0,,380
33,1732824808-34,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Drinkwaterweg 489
             
                3063 VD Rotterdam",https://www.funda.nl/detail/huur/rotterdam/appartement-drinkwaterweg-489/43430290/,Drinkwaterweg 489,De Esch,,3.0,3600.0,€ 3.600 per maand (geen servicekosten),,6+ maanden,,,,Bestaande bouw,1991.0,,,,,,375.0,5.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3063 VD,Rotterdam,3600.0,,342
34,1732824810-35,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Broerenstraat 45-16
             
                6811 EB Arnhem",https://www.funda.nl/detail/huur/arnhem/appartement-broerenstraat-45-16/43775798/,Broerenstraat 45-16,Markt,,2.0,1525.0,€ 1.525 per maand (servicekosten onbekend),,6 weken,,,,Bestaande bouw,2020.0,,,,,,258.0,3.0,,,,,A++,,,,,,,,,,,,,6811 EB,Arnhem,1525.0,,22
35,1732824812-36,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Markt 9-B
             
                4875 CB Etten-Leur",https://www.funda.nl/detail/huur/etten-leur/appartement-markt-9-b/43771486/,Markt 9-B,Centrum West 1,,2.0,1750.0,€ 1.750 per maand (servicekosten onbekend),,5 weken,,,,Bestaande bouw,1906.0,,,,,,302.0,3.0,,,,,A++,,,,,,,,,,,,,4875 CB,Etten-Leur,1750.0,,125
36,1732824817-37,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Rasplein 1
             
                6021 HJ Budel",https://www.funda.nl/detail/huur/budel/appartement-rasplein-1/43710005/,Rasplein 1,Budel,,3.0,925.0,€ 925 per maand (geen servicekosten),,18 november 2024,,,,Bestaande bouw,1969.0,,,,,,270.0,5.0,,,,,B,,,,,,,,,,,,,6021 HJ,Budel,925.0,,65
37,1732824820-38,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Nieuwstraat 39
             
                5298 CK Liempde",https://www.funda.nl/detail/huur/liempde/huis-nieuwstraat-39/43780160/,Nieuwstraat 39,Liempde,,3.0,1750.0,€ 1.750 per maand (geen servicekosten),,4 weken,,,"Eengezinswoning, vrijstaande woning",Bestaande bouw,1954.0,,,,,,510.0,6.0,,,,,F,,,,,,,,,,,,,5298 CK,Liempde,1750.0,,235
38,1732824822-39,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Andromeda 64
             
                1785 DS Den Helder",https://www.funda.nl/detail/huur/den-helder/huis-andromeda-64/43799344/,Andromeda 64,Marina,,4.0,1500.0,€ 1.500 per maand (geen servicekosten),,3 weken,,,"Eengezinswoning, tussenwoning",Bestaande bouw,1999.0,,,,,,433.0,5.0,,,,,B,,,,,,,,,,,,,1785 DS,Den Helder,1500.0,,91
39,1732824824-40,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Wilhelminastraat 154-H
             
                1054 WS Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-wilhelminastraat-154-h/42220105/,Wilhelminastraat 154-H,Cremerbuurt-West,,1.0,2500.0,€ 2.500 per maand (geen servicekosten),,6+ maanden,,,,Bestaande bouw,1906.0,,,,,,195.0,2.0,,,,,D,,,,,,,,,,,,,1054 WS,Amsterdam,2500.0,,17
40,1732824827-41,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Dierkensteenweg 3-005
             
                4501 RD Oostburg",https://www.funda.nl/detail/huur/oostburg/appartement-dierkensteenweg-3-005/43768235/,Dierkensteenweg 3-005,Oostburg,,2.0,1050.0,"€ 1.050 per maand (exclusief servicekosten à € 62,40 /mnd)",,7 weken,,,,Bestaande bouw,2006.0,,,,,,330.0,3.0,,,,,A,,,,,,,,,,,,,4501 RD,Oostburg,1050.0,,298
41,1732824829-42,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Kanseliersplein 209
             
                5223 LW Den Bosch",https://www.funda.nl/detail/huur/den-bosch/appartement-kanseliersplein-209/43799654/,Kanseliersplein 209,Paleiskwartier,,2.0,1650.0,"€ 1.650 per maand (exclusief servicekosten à € 95,00 /mnd)",,3 weken,,,,Bestaande bouw,2020.0,,,,,,250.0,3.0,,,,,A,,,,,,,,,,,,,5223 LW,Den Bosch,1650.0,,88
42,1732824832-43,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Grote Appelstraat 16-A
             
                9712 VC Groningen",https://www.funda.nl/detail/huur/groningen/appartement-grote-appelstraat-16-a/43792455/,Grote Appelstraat 16-A,Hortusbuurt-Ebbingekwartier,,2.0,1850.0,€ 1.850 per maand (geen servicekosten),,3 weken,,,,Bestaande bouw,2008.0,,,,,,351.0,3.0,,,,,A,,,,,,,,,,,,,9712 VC,Groningen,1850.0,,142
43,1732824834-44,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Groenewoudseweg 1-17**
             
                3945 BB Cothen",https://www.funda.nl/detail/huur/cothen/huis-groenewoudseweg-1-17/42804050/,Groenewoudseweg 1-17**,Cothen,,2.0,1250.0,"€ 1.250 per maand (exclusief servicekosten à € 23,62 /mnd)",,6+ maanden,,,"Bungalow, vrijstaande woning",Bestaande bouw,1999.0,,,,,,139.0,3.0,,,,,Niet verplicht,,,,,,,,,,,,,3945 BB,Cothen,1250.0,,75
44,1732824836-45,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=284,"Rooseveltlaan 122
             
                4624 DD Bergen op Zoom",https://www.funda.nl/detail/huur/bergen-op-zoom/appartement-rooseveltlaan-122/43441312/,Rooseveltlaan 122,Gageldonk-West,,2.0,1100.0,€ 1.100 per maand (geen servicekosten),,6+ maanden,,,,Bestaande bouw,1960.0,,,,,,267.0,3.0,,,,,E,,,,,,,,,,,,,4624 DD,Bergen op Zoom,1100.0,,40
45,1732824841-46,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Druivenstraat 48
             
                2564 VJ Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-druivenstraat-48/43655278/,Druivenstraat 48,Vruchtenbuurt,,3.0,2500.0,€ 2.500 per maand (geen servicekosten),,5 maanden,,,,Bestaande bouw,1933.0,,,,,,353.0,4.0,,,,,E,,,,,,,,,,,,,2564 VJ,Den Haag,2500.0,,90
46,1732824844-47,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Laan op Zuid 620
             
                3071 AB Rotterdam",https://www.funda.nl/detail/huur/rotterdam/appartement-laan-op-zuid-620/43542905/,Laan op Zuid 620,Kop van Zuid - Entrepot,,2.0,2350.0,€ 2.350 per maand (geen servicekosten),,5 maanden,,,,Bestaande bouw,1999.0,,,,,,274.0,3.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3071 AB,Rotterdam,2350.0,,342
47,1732824846-48,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Godsweerdersingel 
             
                6041 GL Roermond",https://www.funda.nl/detail/huur/roermond/parkeergelegenheid-godsweerdersingel-0-ong/43528293/,Godsweerdersingel,Binnenstad,,,90.0,,,5 maanden,Beschikbaar,In overleg,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Parkeerplaats,6041 GL,Roermond,,,336
48,1732824849-49,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Schieweg 249-b
             
                3038 AZ Rotterdam",https://www.funda.nl/detail/huur/rotterdam/appartement-schieweg-249-b/41460332/,Schieweg 249-B,Bergpolder,,3.0,2000.0,€ 2.000 per maand (geen servicekosten),,6+ maanden,,,,Bestaande bouw,1931.0,,,,,,300.0,4.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3038 AZ,Rotterdam,2000.0,,342
49,1732824852-50,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"carports Spuistraat 13-15 
             
                4531 DB Terneuzen",https://www.funda.nl/detail/huur/terneuzen/parkeergelegenheid-carports-spuistraat-13-15-0-ong/41698985/,carports Spuistraat 13-15,Binnenstad-Java,,,82.0,,,6+ maanden,Beschikbaar,Per direct beschikbaar,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Parkeerplaats,4531 DB,Terneuzen,,,384
50,1732824855-51,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Noordwal 44
             
                2513 EB Den Haag",https://www.funda.nl/detail/huur/den-haag/parkeergelegenheid-noordwal-44/43523888/,Noordwal 44,Kortenbos,,,125.0,,,5 maanden,Beschikbaar,Per direct beschikbaar,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Parkeerplaats,2513 EB,Den Haag,,,90
51,1732824857-52,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Brahmslaan 9
             
                4536 CX Terneuzen",https://www.funda.nl/detail/huur/terneuzen/parkeergelegenheid-brahmslaan-9/43703562/,Brahmslaan 9,Oudelandse Hoeve,,,91.0,,,2 weken,Beschikbaar,Beschikbaar per 01-12-2024,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Garage,4536 CX,Terneuzen,,,384
52,1732824861-53,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"Galenuslaan 24-44
             
                9728 JB Groningen",https://www.funda.nl/detail/huur/groningen/parkeergelegenheid-galenuslaan-24-44/43722062/,Galenuslaan 24-44,Corpus den Hoorn,,,95.0,,,27 november 2024,Beschikbaar,In overleg,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Garage,9728 JB,Groningen,,,142
53,1732824864-54,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=283,"IJsselstraat 2-E
             
                4535 GT Terneuzen",https://www.funda.nl/detail/huur/terneuzen/parkeergelegenheid-ijsselstraat-2-e/43703637/,IJsselstraat 2-E,Zeldenrust,,,91.0,,,2 weken,Beschikbaar,Per direct beschikbaar,,,,,,,,,231.0,,,,,,Niet beschikbaar,,,,,,,,,,,,Garage,4535 GT,Terneuzen,,,384
